LLM,Human,Category,Cohens_Kappa
deepseek-r1_14b_r2,B,NFC,0.6757075471698113
deepseek-r1_14b_r2,C,BFC,0.6124031007751938
deepseek-r1_14b_r2,C,BPC,0.31899641577060933
deepseek-r1_14b_r2,C,PRC,0.4345367551109177
deepseek-r1_14b_r2,C,NFC,0.7346698113207547
deepseek-r1_70b_r2,A,BFC,0.68671679197995
deepseek-r1_70b_r2,A,BPC,0.1458206223306895
deepseek-r1_70b_r2,A,PRC,0.43541102077687444
deepseek-r1_70b_r2,A,NFC,0.8106060606060606
deepseek-r1_70b_r2,B,BFC,0.5952906548933039
deepseek-r1_70b_r2,B,BPC,0.12475345167652863
deepseek-r1_70b_r2,B,PRC,0.3954179041154009
deepseek-r1_70b_r2,B,NFC,0.6800731261425961
deepseek-r1_70b_r2,C,BFC,0.5783132530120483
deepseek-r1_70b_r2,C,BPC,0.19652265542676506
deepseek-r1_70b_r2,C,PRC,0.4612068965517241
deepseek-r1_70b_r2,C,NFC,0.7714808043875686
gemma3_12b_r2,A,BFC,0.7673586256263422
gemma3_12b_r2,A,BPC,0.09173478655767497
gemma3_12b_r2,A,PRC,0.19173776380781327
gemma3_12b_r2,A,NFC,0.5579567779960708
gemma3_12b_r2,B,BFC,0.5997536945812809
gemma3_12b_r2,B,BPC,0.12956621004566193
gemma3_12b_r2,B,PRC,0.19354838709677413
gemma3_12b_r2,B,NFC,0.4171779141104295
gemma3_12b_r2,C,BFC,0.6118721461187214
gemma3_12b_r2,C,BPC,0.10593792172739536
gemma3_12b_r2,C,PRC,0.19148936170212771
gemma3_12b_r2,C,NFC,0.4974874371859297
gpt-oss_120b_r2,A,BFC,0.7685185185185186
gpt-oss_120b_r2,A,BPC,0.23150816522574447
gpt-oss_120b_r2,A,PRC,0.6825396825396826
gpt-oss_120b_r2,A,NFC,0.8979591836734694
gpt-oss_120b_r2,B,BFC,0.6671338472319552
gpt-oss_120b_r2,B,BPC,0.1743916570104288
gpt-oss_120b_r2,B,PRC,0.47221025420077545
gpt-oss_120b_r2,B,NFC,0.7549019607843137
gpt-oss_120b_r2,C,BFC,0.7191011235955056
gpt-oss_120b_r2,C,BPC,0.2165738161559888
gpt-oss_120b_r2,C,PRC,0.6283340620900744
gpt-oss_120b_r2,C,NFC,0.8529411764705882
gpt-oss_20b_r2,A,BFC,0.6767241379310345
gpt-oss_20b_r2,A,BPC,0.046711153479504275
gpt-oss_20b_r2,A,PRC,0.539447336804165
gpt-oss_20b_r2,A,NFC,0.6533442088091355
gpt-oss_20b_r2,B,BFC,0.6506986027944112
gpt-oss_20b_r2,B,BPC,0.0017361111111111605
gpt-oss_20b_r2,B,PRC,0.5537485124950416
gpt-oss_20b_r2,B,NFC,0.5556414219474497
gpt-oss_20b_r2,C,BFC,0.5789473684210527
gpt-oss_20b_r2,C,BPC,0.11335187760778864
gpt-oss_20b_r2,C,PRC,0.5234312946783162
gpt-oss_20b_r2,C,NFC,0.6629659000793021
llama3.1_8b_r2,A,BFC,0.5012468827930174
llama3.1_8b_r2,A,BPC,-0.06382978723404253
llama3.1_8b_r2,A,PRC,0.11910669975186094
llama3.1_8b_r2,A,NFC,0.5406189555125726
llama3.1_8b_r2,B,BFC,0.5532390171258377
llama3.1_8b_r2,B,BPC,0.03204272363150862
llama3.1_8b_r2,B,PRC,0.1112385321100916
llama3.1_8b_r2,B,NFC,0.4135802469135803
llama3.1_8b_r2,C,BFC,0.45783132530120485
llama3.1_8b_r2,C,BPC,-0.06645711719802416
llama3.1_8b_r2,C,PRC,0.033391915641476255
llama3.1_8b_r2,C,NFC,0.5111731843575419
mistral_7b_r2,A,BFC,0.5642701525054465
mistral_7b_r2,A,BPC,0.02975420439844767
mistral_7b_r2,A,PRC,0.05489383738995335
mistral_7b_r2,A,NFC,0.5698213103904699
mistral_7b_r2,B,BFC,0.4139316811788345
mistral_7b_r2,B,BPC,0.20333839150227617
mistral_7b_r2,B,PRC,0.040219378427788
mistral_7b_r2,B,NFC,0.5207667731629393
mistral_7b_r2,C,BFC,0.3846153846153846
mistral_7b_r2,C,BPC,0.1882223445239406
mistral_7b_r2,C,PRC,0.06663516068052933
mistral_7b_r2,C,NFC,0.6106424399740429
